,hotel name,mark,location
207,Riad El Faris,4.5,"14, derb Charki, Zaouia Abbassia, Marrakech, Marrakech-Safi, Morocco"
208,Riad Chergui,5,"53-54 Derb El Halfaoui, Marrakech, Marrakech-Safi, Morocco"
209,Riad Catalina,4.5,"21 Derb Abdellah Ben Hssaine, Marrakech, Marrakech-Safi, Morocco"
210,Riad Fes - Relais & Chateaux,4.5,"5 Derb Ben Slimane Zerbtana, Fes, Fes-Meknes, Morocco"
211,Riad Khabia & Spa,5,"Berrima, Derb Chtoka #6, Marrakech, Marrakech-Safi, Morocco"
212,Riad Massiba,4.5,"38, Rue Douar Graoua, Marrakech, Marrakech-Safi, Morocco"
213,Riad El Mezouar,5,"28 Derb El Hammam, Marrakech, Marrakech-Safi, Morocco"
214,Riad 107,4.5,"107, Derb Jdid Derb Dabaachi, Marrakech, Marrakech-Safi, Morocco"
215,Hotel Dar Zitoune,5,"Boutarialt El Barrania, Taroudant, Souss-Massa, Morocco"
216,Kasbah Angour,5,"Douar Toufsirine Between Tahanaout & Asni, Asni, Marrakech-Safi, Morocco"
217,Riad Chamali,5,"49 Bis, Derb Zemrane, Marrakech, Marrakech-Safi, Morocco"
218,Hotel Amine,3,"Avenue Abdelkrim Khettabi, Marrakech, Marrakech-Safi, Morocco"
219,"Eden Andalou Suites, Aquapark & Spa",4,"Km 4, Route d'Amizmiz, Marrakech, Marrakech-Safi, Morocco"
220,Riad Zayane,5,"36, derb Nakhla, Marrakech, Marrakech-Safi, Morocco"
221,Riad Samsara,5,"6, Derb El Aarsa, Marrakech, Marrakech-Safi, Morocco"
222,Valeria Madina Club Resort,4,"Route De Fes, Marrakech, Marrakech-Safi, Morocco"
223,Club Med Marrakech le Riad,4.5,"Sidi Yahya, Marrakech, Marrakech-Safi, Morocco"
224,Palais Khum,5,"2 Derb El Hammaria, Marrakech, Marrakech-Safi, Morocco"
225,Al Fassia Aguedal,5,"9 Bis, Marrakech, Marrakech-Safi, Morocco"
226,"Riad Camilia, the Riad and More",5,"Derb El Ouali 9, Kaat Benahid, Marrakech, Marrakech-Safi, Morocco"
227,Riad Dar Attajmil,5,"23, Rue Laksour, Marrakech, Marrakech-Safi, Morocco"
228,Ecolodge Quaryati,4.5,"Douar Tounsi, Sidi Abdallah Ghiat, Marrakech, Marrakech-Safi, Morocco"
229,Riad Maison Belbaraka,5,"Riad Laarouss Derb Asafrou Sidi Bouamer No 242, Marrakech, Marrakech-Safi, Morocco"
230,Riad Dar Othmane,4.5,"198, Derb Essakaya -, Marrakech, Marrakech-Safi, Morocco"
231,Riad Baba Ali,4.5,"74 Derb Baba Ali, Marrakech, Marrakech-Safi, Morocco"
232,Riad Talaa 12,4.5,"12 Talaa Ben Youssef, Marrakech, Marrakech-Safi, Morocco"
233,Riad Azzar,5,"94, Derb Moulay Abdelkader - Medina, Marrakech, Marrakech-Safi, Morocco"
234,Riad Ma'ab,5,"23 Derb Chentouf, Marrakech, Marrakech-Safi, Morocco"
235,Riad Chameleon,5,"59 Derb Foura, Marrakech, Marrakech-Safi, Morocco"
236,Riad Libitibito,4.5,"6 Derb Ouaihah Sidi Abdelaziz, Marrakech, Marrakech-Safi, Morocco"
237,Riad Dar Dallah,5,"107, derb El Cadi, Marrakech, Marrakech-Safi, Morocco"
238,Club Paradisio Zalagh Resort & Spa,3,"Av d'Ourika, Marrakech, Marrakech-Safi, Morocco"
239,Hotel Ali,3.5,"Rue Moulay Ismail, Marrakech, Marrakech-Safi, Morocco"
240,Riad Dar-K,5,"Derb Bousseta Lakbir 23, Marrakech, Marrakech-Safi, Morocco"
241,Riad Timila,5,"135 Derb Jdid, Marrakech, Marrakech-Safi, Morocco"
242,2Ciels Luxury Boutique Hotel & Spa,4.5,"Rue Oued El Makhazine, Marrakech, Marrakech-Safi, Morocco"
243,Le Riad Monceau,4.5,"63 derb Jamaa, Marrakech, Marrakech-Safi, Morocco"
244,Merzouga Luxury Desert Camps,5,"Erg Chebbi, Meknes-Tafilalet Region, Morocco"
245,Riad El Youssoufi,5,"188 Arset Aouzal Bab Doukkala, Marrakech, Marrakech-Safi, Morocco"
246,Riad Linda,4.5,"93 Derb Jamaa, Marrakech, Marrakech-Safi, Morocco"
247,Chambres d'Amis,5,"Derb Dabachi - Derb Moulay Abdelkader 46/47, Marrakech, Marrakech-Safi, Morocco"
248,Palais Jena Hotel & Spa,4,"Route de l'Ourika Km 8, Marrakech, Marrakech-Safi, Morocco"
249,Oudaya Hotel & Spa,3,"147 Rue Mohamed El Baqual Gueliz, Marrakech, Marrakech-Safi, Morocco"
250,Hivernage Hotel and Spa,4,"4 Angle Avenue Echouhada et Rue des Temples, Marrakech, Marrakech-Safi, Morocco"
251,Palais Namaskar,4.5,"Route de Bab Atlas, No 88/69, Marrakech, Marrakech-Safi, Morocco"
252,Riad & Spa Al Jazira,4.5,"7 Derb Mayara, Marrakech, Marrakech-Safi, Morocco"
253,Riad Chayma,5,"8 Derb Taabout, Marrakech, Marrakech-Safi, Morocco"
254,Ryad Dyor,5,"1 Derb Driba Jdida Sidi Ben Slimane, Marrakech, Marrakech-Safi, Morocco"
255,Villa Dinari,5,"Alpha 41, Lots Bouazaoui, Marrakech, Marrakech-Safi, Morocco"
256,Riad Villa El Arsa,5,"18 Derb El Arsa, Marrakech, Marrakech-Safi, Morocco"
257,Riad BE Marrakech,4.5,"Derb Sidi Lahcen o Ali 23, Marrakech, Marrakech-Safi, Morocco"
258,Riad Hannah City Hotel,3,"28 Derb Assabane, Marrakech, Marrakech-Safi, Morocco"
259,Riad Dar El Aila,4,"160 Derb El Ferane, Marrakech, Marrakech-Safi, Morocco"
260,Kennedy Hospitality Resort,3,"Av. Du President Kennedy, Marrakech, Marrakech-Safi, Morocco"
261,Kech Boutique Hotel & Spa,4,"Avenue Mohammed VI, Marrakech, Marrakech-Safi, Morocco"
